chargeback_id,customer_id,archetype,reason_code,merchant_category,amount,delivery_confirmed,three_d_secure,device_fingerprint_match,ip_geolocation_match,customer_email_opened,customer_tenure_days,customer_prior_disputes,transaction_velocity_24h,days_since_transaction,amount_vs_customer_avg,transaction_date,dispute_date,tracking_id,delivery_timestamp,merchant_policy,hidden_adjudicator_strictness,month_index,procedural_flip,won,split,generation_seed
c5e5f5568514,cust_93911,high_velocity_attack,unauthorized,travel,1863.56,0,0,0,1.0,0.0,0,0,6,8,4.385,2025-08-19,2025-08-27,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,0.0559,7,0,0,train,101
eab4c3ef9a30,cust_39575,inr_delivery_confirmed,item_not_received,ecommerce,5311.97,1,0,0,0.0,1.0,797,0,1,16,1.021,2025-07-04,2025-07-20,TRK707309469,2025-07-05 14:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0384,6,0,1,train,101
12dded0c8971,cust_93849,unauthorized_3ds,unauthorized,ecommerce,4061.79,0,1,1,1.0,0.0,975,0,1,14,1.005,2025-06-13,2025-06-27,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0023,5,0,0,train,101
52b8bbea095b,cust_38286,friendly_fraud_long_tenure,not_as_described,fashion,8276.81,0,1,0,1.0,1.0,548,2,1,34,0.1,2025-03-08,2025-04-11,,,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0399,2,0,1,train,101
cc3e5fce90b4,cust_15472,unauthorized_3ds,unauthorized,digital_goods,4207.35,1,1,1,0.0,0.0,1012,1,1,18,,2025-09-20,2025-10-08,TRK940319246,2025-09-23 00:00:00,Digital items are non-refundable after delivery to the registered account.,-0.0358,8,0,0,train,101
5f78febc07d7,cust_66503,high_velocity_attack,unauthorized,digital_goods,4381.24,0,0,0,0.0,0.0,25,1,12,11,2.236,2025-04-09,2025-04-20,,,Digital items are non-refundable after delivery to the registered account.,-0.0214,3,1,0,train,101
f2617d0f1b63,cust_12976,inr_delivery_confirmed,item_not_received,grocery,12270.45,1,1,1,1.0,1.0,470,1,1,29,0.908,2025-07-11,2025-08-09,TRK215487661,2025-07-12 02:00:00,Perishable goods are non-returnable after delivery confirmation.,0.0133,6,0,1,train,101
9a678ccdc50b,cust_76076,unauthorized_3ds,unauthorized,digital_goods,2078.8,0,1,1,1.0,,94,0,1,1,0.707,2025-04-27,2025-04-28,,,Digital items are non-refundable after delivery to the registered account.,0.0764,3,0,1,train,101
c0aae3f749ab,cust_90113,high_velocity_attack,unauthorized,travel,605.92,0,0,0,1.0,0.0,0,1,8,9,,2025-02-15,2025-02-24,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,0.2162,1,0,0,train,101
8d2553135f6f,cust_55533,unauthorized_3ds,unauthorized,digital_goods,4496.47,1,0,1,0.0,0.0,187,0,2,9,0.789,2025-09-08,2025-09-17,TRK763428779,2025-09-10 16:00:00,Digital items are non-refundable after delivery to the registered account.,0.0846,8,0,1,train,101
6166a217cb2b,cust_14669,inr_delivery_confirmed,item_not_received,ecommerce,1642.01,1,1,0,1.0,1.0,243,0,1,21,1.18,2025-03-07,2025-03-28,TRK227983139,2025-03-08 21:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.1894,2,0,1,train,101
1d6868d7c6b3,cust_91356,unauthorized_3ds,unauthorized,digital_goods,732.34,1,1,1,1.0,1.0,673,0,1,1,0.921,2025-06-07,2025-06-08,TRK917475006,2025-06-08 11:00:00,Digital items are non-refundable after delivery to the registered account.,-0.2064,5,0,1,train,101
5f2e354a7cb6,cust_80656,inr_delivery_confirmed,item_not_received,fashion,3152.06,1,1,1,1.0,1.0,693,2,1,20,1.526,2025-09-09,2025-09-29,TRK387394997,2025-09-12 13:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.0415,8,0,1,train,101
917128ebcf1f,cust_57675,inr_delivery_confirmed,item_not_received,ecommerce,2878.89,0,0,1,,1.0,510,0,1,29,1.199,2025-08-21,2025-09-19,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0335,7,1,0,train,101
2005ce372de0,cust_73710,no_evidence,not_as_described,ecommerce,1770.92,0,0,0,0.0,0.0,208,0,2,41,2.25,2025-03-17,2025-04-27,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0691,2,0,0,train,101
8207d95f98eb,cust_42869,unauthorized_3ds,unauthorized,travel,3657.74,1,1,1,1.0,0.0,455,0,2,23,1.296,2025-09-20,2025-10-13,TRK903941346,2025-09-21 21:00:00,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,0.2441,8,0,0,train,101
438f9e7065a8,cust_60903,friendly_fraud_long_tenure,unauthorized,digital_goods,10829.88,0,1,1,0.0,0.0,1146,2,3,32,2.268,2025-09-25,2025-10-27,,,Digital items are non-refundable after delivery to the registered account.,0.2044,8,0,1,train,101
9852d40d3bd9,cust_71980,inr_delivery_confirmed,item_not_received,ecommerce,3255.56,1,1,1,0.0,,739,0,1,4,0.969,2025-02-11,2025-02-15,TRK899873664,2025-02-13 18:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.1019,1,0,0,train,101
0daf6b4558ef,cust_12559,no_evidence,item_not_received,digital_goods,5993.73,0,0,0,1.0,0.0,6,1,1,37,1.525,2025-04-24,2025-05-31,,,Digital items are non-refundable after delivery to the registered account.,-0.0232,3,0,0,train,101
c877010ffb89,cust_46415,inr_delivery_confirmed,item_not_received,ecommerce,5365.06,1,1,1,1.0,1.0,300,0,1,2,0.683,2025-03-27,2025-03-29,TRK723487721,2025-03-29 03:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0221,2,0,1,train,101
82c1eedfe1d8,cust_40986,no_evidence,unauthorized,digital_goods,1262.59,0,0,0,1.0,0.0,110,0,1,71,,2025-07-03,2025-09-12,,,Digital items are non-refundable after delivery to the registered account.,-0.1354,6,0,0,train,101
838879e37bb3,cust_95304,inr_delivery_confirmed,item_not_received,fashion,7683.46,1,0,0,0.0,1.0,542,0,1,45,1.406,2025-03-26,2025-05-10,TRK525667231,2025-03-27 22:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.094,2,0,0,train,101
b17d0622c529,cust_48168,inr_delivery_confirmed,item_not_received,grocery,2099.37,1,0,1,0.0,1.0,553,0,2,11,0.808,2025-04-12,2025-04-23,TRK323871074,2025-04-13 13:00:00,Perishable goods are non-returnable after delivery confirmation.,-0.0836,3,1,0,train,101
6cb92a27d9b2,cust_67145,friendly_fraud_long_tenure,item_not_received,ecommerce,7666.98,1,1,1,1.0,0.0,383,2,2,22,1.672,2025-02-02,2025-02-24,TRK684193150,2025-02-04 19:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.059,1,0,0,train,101
3ca300c4934b,cust_40063,friendly_fraud_long_tenure,item_not_received,fashion,5675.41,1,1,1,,0.0,1204,1,1,12,2.19,2025-03-28,2025-04-09,TRK188960287,2025-03-31 18:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0801,2,0,0,train,101
